Index,Price
1183,7317
1184,9083
1185,14444
1186,5385
1187,6418
1188,14606
1189,8333
1190,11416
1191,15500
1192,8529
1193,8571
1194,9130
1195,6131
1196,11290
1197,12769
1198,7102
1199,11429
1200,10602
1201,7373
1202,5208
1203,4064
1204,12585
1205,10196
1206,25403
1207,8488
1208,6259
1210,7265
1211,7083
1212,17333
1213,25670
1214,10417
1215,8036
1216,5909
1217,9846
1218,7031
1219,9143
1220,10452
1221,10800
1222,10618
1223,6190
1224,7123
1225,10952
1226,9054
1227,6286
1228,16245
1229,6500
1230,5000
1231,4898
1232,6127
1233,5042
1234,10588
1235,13860
1236,8163
1238,14222
1239,6667
1240,20606
1241,19950
1243,12609
1245,12727
1246,7333
1247,7500
1248,11931
1249,10714
1250,8333
1251,10308
1252,13158
1253,8667
1254,5217
1255,9455
1256,10000
1257,8485
1258,7391
1259,10455
1260,11364
1261,10833
1262,11818
1263,11304
1264,8636
1265,8636
1269,16429
1270,10114
1271,5500
1272,7576
1273,12381
1274,12903
1275,13178
1276,8522
1277,8000
1278,5556
1279,16622
1280,5692
1281,6383
1282,9886
1283,10490
1284,10000
1285,19149
1286,5000
1287,21089
1288,13793
1289,13077
1290,5844
1291,6875
1292,7429
1293,6267
1294,6957
1295,20833
1296,25714
1297,17925
1298,9075
1299,9211
1300,25000
1301,9191
1302,8020
1304,8490
1305,8571
1306,7545
1309,7576
1311,7350
1312,7083
1313,10000
1314,10351
1315,5781
1316,7236
1317,7083
1318,6977
1319,12154
1320,5548
1321,6250
1322,9000
1323,4054
1324,7059
1325,7727
1326,9091
1327,14444
1328,8000
1329,7493
1330,18261
1331,8923
1332,5455
1333,8806
1334,3750
1335,5085
1337,4250
1340,5500
1341,5819
1342,4571
1343,2778
1344,4727
1345,4755
1346,5156
1347,5108
1348,4834
1350,4500
1351,9000
1352,2500
1353,3846
1354,5137
1355,2500
1357,3200
1358,6429
1359,2333
1360,3834
1361,4762
1362,4918
1363,3385
1364,9600
1365,5482
1366,5292
1368,4857
1369,5486
1371,3542
1372,3500
1374,5909
1376,5600
1377,4286
1378,4953
1379,4237
1380,5000
1381,4001
1382,8829
1384,2969
1385,5137
1386,3387
1387,3500
1389,4219
1390,6545
1391,2583
1392,4000
1393,6250
1394,7917
1395,4229
1397,4267
1398,4783
1399,2364
1401,4632
1402,6780
1403,3614
1404,3905
1405,3182
1406,4242
1407,4532
1408,6349
1409,3877
1410,5412
1411,3700
1412,5833
1413,6571
1415,4643
1416,3500
1417,4516
1418,5100
1420,5833
1422,4421
1425,4234
1426,4083
1427,6857
1428,6694
1429,4500
1430,4100
1431,4000
1432,7761
1434,4091
1435,4688
1436,3981
1437,4074
1438,3176
1439,5417
1440,2644
1441,4267
1442,4000
1443,3887
1444,3426
1446,3800
1447,3524
1448,3519
1449,5455
1450,4182
1451,3951
1452,5862
1455,5667
1456,4123
1458,2600
1459,4500
1460,2399
1461,4545
1462,4534
1463,5484
1464,3900
1465,4526
1467,3500
1469,4503
1470,6667
1471,5455
1472,3333
1473,6873
1474,6667
1475,5588
1476,4000
1477,6062
1478,4762
1479,4381
1480,4316
1481,3136
1484,3818
1485,7866
1486,5769
1487,3455
1488,5000
1489,4960
1491,6222
1492,5217
1493,3846
1494,3597
1495,5443
1496,4118
1497,3043
1498,5716
1499,5316
1500,4000
1501,3875
1502,4129
1503,4167
1505,8807
1507,3000
1508,3966
1509,3994
1510,3990
