Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-04-20,56.14,231.29,2.61,36.15,19.79,61.92,30.58,0.5,45.01,1.77,13.56,,,,,31.19,40.36,1.66,259.2,0.0,0.0,149.65,983.9,
2024-04-21,39.32,170.23,1.16,40.67,21.09,61.85,35.46,0.5,55.35,1.26,10.71,,,,,31.28,37.98,1.9,260.71,0.0,0.0,154.26,983.8,
2024-04-22,31.88,140.59,1.91,44.15,23.44,61.91,25.01,0.56,54.91,1.35,10.79,,,,,31.14,38.7,1.46,255.52,0.05,0.05,193.97,983.82,
2024-04-23,54.17,243.62,3.07,54.22,29.44,61.76,28.96,0.56,55.1,1.53,18.46,,,,,30.52,39.41,1.87,208.26,0.0,0.0,175.99,983.78,
2024-04-24,57.45,180.38,9.72,59.87,36.74,61.16,27.8,0.82,54.29,2.27,16.66,,,,,30.84,39.46,1.43,255.0,0.0,0.0,205.46,983.77,
2024-04-25,66.11,225.05,6.65,63.43,35.93,61.4,30.29,0.92,53.37,2.44,20.86,,,,,31.64,35.26,1.62,268.09,0.0,0.0,205.96,983.57,
2024-04-26,78.18,222.51,2.48,54.6,29.7,62.69,37.67,0.72,71.69,2.52,15.68,,,,,31.49,37.23,0.85,197.22,0.01,0.01,156.35,983.65,
2024-04-27,53.6,239.19,3.68,42.59,23.16,63.56,35.68,0.6,51.56,1.67,14.56,,,,,31.77,39.45,1.51,212.15,0.0,0.0,186.93,983.77,
2024-04-28,61.29,214.21,1.01,39.22,19.86,63.62,34.38,0.65,62.18,1.86,11.05,,,,,31.58,36.22,0.76,261.11,0.0,0.0,179.38,983.69,
2024-04-29,77.35,287.24,4.48,49.92,27.48,62.82,39.51,0.7,50.94,2.8,12.13,,,,,31.16,39.52,1.39,217.96,0.0,0.0,176.96,983.88,
2024-04-30,48.75,214.42,1.78,37.77,19.34,63.02,31.3,0.51,58.17,1.43,10.82,,,,,30.64,36.37,1.87,255.57,0.0,0.0,217.62,983.95,
2024-05-01,62.38,246.32,1.96,34.0,17.39,63.77,31.19,0.43,58.73,1.52,11.41,,,,,29.58,32.43,3.14,269.11,0.0,0.0,213.29,984.05,
2024-05-02,73.95,226.88,1.56,43.73,22.25,63.51,30.36,0.63,63.33,1.4,11.21,,,,,30.15,34.01,1.75,270.8,0.0,0.0,209.19,983.94,
2024-05-03,112.69,287.15,1.03,50.95,25.55,63.35,34.47,0.74,66.58,2.36,22.9,,,,,31.73,31.1,1.85,262.98,0.0,0.0,187.74,983.93,
2024-05-04,113.77,312.05,87.79,70.03,65.5,61.45,36.24,1.81,61.71,2.78,29.76,,,,,32.15,33.44,1.13,259.36,0.0,0.0,172.26,984.01,
2024-05-05,148.26,354.46,120.38,70.44,89.84,60.44,36.04,2.56,59.0,4.97,47.62,,,,,32.81,34.97,1.3,268.45,0.0,0.0,184.45,984.07,
2024-05-06,106.84,326.03,21.35,56.62,34.61,62.14,37.22,1.28,60.71,2.0,14.47,,,,,33.15,35.66,1.39,267.1,0.0,0.0,189.58,983.74,
2024-05-07,176.57,412.43,13.77,67.14,42.46,61.85,57.88,1.3,71.87,4.12,35.39,,,,,32.92,40.49,0.89,200.08,0.0,0.0,155.6,984.04,
2024-05-08,73.21,252.69,2.39,32.21,18.58,61.46,36.51,0.65,56.74,1.31,8.31,,,,,31.77,49.8,2.08,95.55,0.0,0.0,180.88,984.12,
2024-05-09,49.12,170.44,1.75,32.79,18.21,61.02,39.71,0.63,67.45,1.0,7.11,,,,,31.44,47.83,1.62,101.22,0.0,0.0,184.61,984.32,
2024-05-10,71.23,185.68,1.86,33.79,19.01,61.35,40.69,0.67,73.26,1.31,11.55,,,,,31.84,48.56,1.88,122.96,0.06,0.06,174.14,984.21,
2024-05-11,59.07,252.96,1.95,39.8,21.6,61.59,30.29,0.69,66.14,1.26,11.63,,,,,31.35,45.16,1.29,257.49,0.0,0.0,195.97,984.71,
2024-05-12,82.31,250.52,5.67,51.25,29.25,60.99,33.59,0.92,68.7,3.32,40.46,,,,,32.43,43.08,0.76,236.59,0.0,0.0,172.24,984.58,
2024-05-13,101.86,271.46,6.63,64.35,37.08,60.75,39.96,1.16,76.11,6.24,38.57,,,,,32.78,39.32,0.95,253.34,0.0,0.0,185.03,984.33,
2024-05-14,100.56,273.26,34.9,74.86,55.81,59.92,31.83,1.25,75.09,5.73,51.56,,,,,32.56,35.73,0.86,233.86,0.0,0.0,184.64,984.04,
2024-05-15,124.27,299.2,34.77,87.7,66.39,59.3,43.36,1.54,82.91,5.17,59.94,,,,,32.67,34.85,0.84,241.06,0.0,0.0,188.0,983.78,
2024-05-16,90.17,279.41,17.61,73.42,48.26,59.61,46.33,1.27,80.59,3.84,48.84,,,,,32.65,37.58,0.69,127.89,0.0,0.0,193.14,983.61,
2024-05-17,86.86,288.67,20.28,99.35,67.36,59.09,32.33,1.52,55.09,4.08,36.6,,,,,32.92,40.44,0.59,173.12,0.0,0.0,173.03,984.32,
2024-05-18,89.2,302.77,19.27,91.98,61.88,60.09,35.63,1.2,63.17,3.79,35.28,,,,,33.03,39.08,0.94,187.18,0.0,0.0,188.57,984.73,
2024-05-19,84.9,321.05,2.89,94.14,50.92,60.2,35.47,0.81,67.06,2.32,17.53,,,,,,,,,,0.0,,,
2024-05-20,83.37,323.48,5.39,70.18,39.34,62.16,39.87,1.02,60.99,2.57,24.86,,,,,35.27,34.86,0.92,274.07,0.0,0.0,24.79,985.61,
2024-05-21,70.49,299.79,1.36,46.9,25.09,62.26,42.51,0.78,59.14,1.64,20.36,,,,,33.63,44.11,1.24,105.62,0.0,0.0,197.65,986.82,
2024-05-22,65.6,215.21,5.34,52.85,26.85,60.38,32.89,0.93,44.18,3.22,18.19,,,,,33.15,48.21,1.6,91.69,0.0,0.0,112.83,985.51,
2024-05-23,46.55,168.94,1.57,29.4,16.16,61.83,27.3,0.58,45.42,1.46,9.36,,,,,33.32,46.89,1.97,95.21,0.0,0.0,187.16,984.03,
2024-05-24,46.94,181.22,1.38,29.02,16.24,61.7,32.55,0.65,60.83,1.02,9.33,,,,,33.87,45.21,1.39,104.15,0.0,0.0,197.21,983.96,
2024-05-25,59.42,274.35,4.83,71.78,40.93,62.64,28.79,0.74,70.05,1.59,20.37,,,,,33.92,46.18,0.75,158.98,0.0,0.0,193.84,983.94,
2024-05-26,67.83,237.13,8.0,56.98,34.67,62.67,34.44,0.97,77.88,1.84,14.99,,,,,33.5,38.19,0.85,206.44,0.0,0.0,123.11,983.95,
2024-05-27,89.76,304.02,17.31,76.15,48.86,61.14,34.1,1.69,70.17,2.79,33.45,,,,,36.73,37.31,1.02,163.6,0.0,0.0,198.17,983.62,
